Color.Name,Hex.Code,Dec.Code,X.Code,HSL.Code,CMYK.Code
black (Safe 16 SVG Hex3),#000000,"rgb(0, 0, 0)","rgb(0%, 0%, 0%)","hsl(0, 0%, 0%)","cmyk(0%, 0%, 0%, 100%)"
gray1,#030303,"rgb(3, 3, 3)","rgb(1%, 1%, 1%)","hsl(0, 0%, 1%)","cmyk(0%, 0%, 0%, 99%)"
gray2,#050505,"rgb(5, 5, 5)","rgb(2%, 2%, 2%)","hsl(0, 0%, 2%)","cmyk(0%, 0%, 0%, 98%)"
gray3,#080808,"rgb(8, 8, 8)","rgb(3%, 3%, 3%)","hsl(0, 0%, 3%)","cmyk(0%, 0%, 0%, 97%)"
gray4,#0A0A0A,"rgb(10, 10, 10)","rgb(4%, 4%, 4%)","hsl(0, 0%, 4%)","cmyk(0%, 0%, 0%, 96%)"
gray5,#0D0D0D,"rgb(13, 13, 13)","rgb(5%, 5%, 5%)","hsl(0, 0%, 5%)","cmyk(0%, 0%, 0%, 95%)"
gray6,#0F0F0F,"rgb(15, 15, 15)","rgb(6%, 6%, 6%)","hsl(0, 0%, 6%)","cmyk(0%, 0%, 0%, 94%)"
gray7,#121212,"rgb(18, 18, 18)","rgb(7%, 7%, 7%)","hsl(0, 0%, 7%)","cmyk(0%, 0%, 0%, 93%)"
gray8,#141414,"rgb(20, 20, 20)","rgb(8%, 8%, 8%)","hsl(0, 0%, 8%)","cmyk(0%, 0%, 0%, 92%)"
gray9,#171717,"rgb(23, 23, 23)","rgb(9%, 9%, 9%)","hsl(0, 0%, 9%)","cmyk(0%, 0%, 0%, 91%)"
gray10,#1A1A1A,"rgb(26, 26, 26)","rgb(10%, 10%, 10%)","hsl(0, 0%, 10%)","cmyk(0%, 0%, 0%, 90%)"
gray11,#1C1C1C,"rgb(28, 28, 28)","rgb(11%, 11%, 11%)","hsl(0, 0%, 11%)","cmyk(0%, 0%, 0%, 89%)"
gray12,#1F1F1F,"rgb(31, 31, 31)","rgb(12%, 12%, 12%)","hsl(0, 0%, 12%)","cmyk(0%, 0%, 0%, 88%)"
gray13,#212121,"rgb(33, 33, 33)","rgb(13%, 13%, 13%)","hsl(0, 0%, 13%)","cmyk(0%, 0%, 0%, 87%)"
gray14,#242424,"rgb(36, 36, 36)","rgb(14%, 14%, 14%)","hsl(0, 0%, 14%)","cmyk(0%, 0%, 0%, 86%)"
gray15,#262626,"rgb(38, 38, 38)","rgb(15%, 15%, 15%)","hsl(0, 0%, 15%)","cmyk(0%, 0%, 0%, 85%)"
